ID,SKU,Nome,Categoria,Serie,Descricao,Imagem_Principal,Imagens,URL_Detalhe
1004720,A021,Barra Pequena Inteira Reta/Curva Modelo 2,-,Acessórios - Série A,Preço por kg (USD),https://commanderbrasil.com.br/wp-content/uploads/2025/12/A021-bgbranco-v2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/A021-bgbranco-v2.webp,https://commanderbrasil.com.br/catalogo/barra-pequena-inteira-reta-curva-modelo-a021/
1004722,A023,Barra Pequena Inteira Reta/Curva Modelo 3,-,Acessórios - Série A,Preço por kg (USD),https://commanderbrasil.com.br/wp-content/uploads/2025/12/A023-bgbranco-v2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/A023-bgbranco-v2.webp,https://commanderbrasil.com.br/catalogo/barra-pequena-inteira-reta-curva-modelo-a023/
1009122,QHSJ86,Barra Pequena Reta 1.2m,-,Acessórios - QHSJ Barras,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ86-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ86-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ86-ambientada.webp,https://commanderbrasil.com.br/catalogo/1m-small-straight-bar-qhsj86/
1008909,QHSJ19,Barra Pequena Sólida Reta/Curva,-,Acessórios - QHSJ Pesos,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ19-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ19-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ19-ambientadas.webp,https://commanderbrasil.com.br/catalogo/solid-small-barbell-straight-curved-qhsj19/
1008917,QHSJ21,Barra Pequena Sólida Reta/Curva,-,Acessórios - QHSJ Pesos,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ21-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ21-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ21-ambientadas.webp,https://commanderbrasil.com.br/catalogo/solid-small-barbell-straight-curved-qhsj21/
1008925,QHSJ23,Barra Pequena Sólida Reta/Curva,-,Acessórios - QHSJ Pesos,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ23-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ23-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ23-ambientadas.webp,https://commanderbrasil.com.br/catalogo/solid-small-barbell-straight-curved-qhsj23/
1004727,A028,Barra Pequena Technogym Revestida de Borracha,-,Acessórios - Série A,Preço por kg (USD),https://commanderbrasil.com.br/wp-content/uploads/2025/12/A028-bgbranco-v2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/A028-bgbranco-v2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/A028-ambientada-v2.webp,https://commanderbrasil.com.br/catalogo/barra-pequena-technogym-revestida-de-borracha-a028/
1004703,A004,Barra Reta Fixa,-,Acessórios - Série A,Preço por kg (USD),https://commanderbrasil.com.br/wp-content/uploads/2025/12/A004-bgbranco-v2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/A004-bgbranco-v2.webp,https://commanderbrasil.com.br/catalogo/barra-reta-fixa-a004/
1008853,QHSJ04,Barra Reta Pequena,-,Acessórios - QHSJ Pesos,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ04-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ04-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ04-ambientadas.webp,https://commanderbrasil.com.br/catalogo/straight-bar-small-barbell-qhsj04/
1004705,A006,Barra Reta PU Capitão América,-,Acessórios - Série A,Preço por kg (USD),https://commanderbrasil.com.br/wp-content/uploads/2025/12/A006-bgbranco-v2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/A006-bgbranco-v2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/A006-ambientada-v2.webp,https://commanderbrasil.com.br/catalogo/barra-reta-pu-capitao-america-a006/
1008861,QHSJ06,Barra Reta PU Capitão América,-,Acessórios - QHSJ Pesos,,,,https://commanderbrasil.com.br/catalogo/pu-captain-america-straight-bar-barbell-qhsj06/
1009142,QHSJ91,Barra Trap,-,Acessórios - QHSJ Barras,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ91-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ91-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QHSJ91-ambientada.webp,https://commanderbrasil.com.br/catalogo/trap-bar-qhsj91/
1009420,QHSJ207,Barras Paralelas,-,Acessórios - QHSJ Treino,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ207-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ207-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ207-ambientadas.webp,https://commanderbrasil.com.br/catalogo/parallettes-qhsj207/
2826,D041,Barras Paralelas Divididas,Acessórios de Treino,Acessórios - Série D,Barras Paralelas Divididas - Código: D-041,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D041-d-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/D041-d-2.jpeg,https://commanderbrasil.com.br/catalogo/barras-paralelas-divididas-d041/
858,B1047,Barras Paralelas/Máquina Abdominal,Máquinas Abdominais,Equipamentos - Série B,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1047-1-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1047-1-2.webp,https://commanderbrasil.com.br/catalogo/barra-paralela-abdominal-b1047/
1009508,QHSJ229,Barreira de Agilidade,Acessórios de Treino,Acessórios - QHSJ Agilidade,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ229-bgbranco.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ229-bgbranco.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/QH-SJ229-ambientadas.webp,https://commanderbrasil.com.br/catalogo/agility-hurdle-qhsj229/
2883,E006,Barril Energia 2kg,Acessórios de Treino,Acessórios - Série E,Barril de Energia 2kg - Código: E-006,https://commanderbrasil.com.br/wp-content/uploads/2025/12/E006-e-2.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/E006-e-2.jpeg,https://commanderbrasil.com.br/catalogo/barril-de-energiakg-e006/
1565,CBP003,Base De Meio Suporte,Outros Racks,Equipamentos - Série CBP,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP003-bgbranco-2.webp,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP003-bgbranco-2.webp | https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP003-ambientadas-2.webp,https://commanderbrasil.com.br/catalogo/base-de-meio-rack-cbp003/
3029,G029,Base Nove Furos para Barras,Acessórios de Treino,Acessórios - Série G,Base de Nove Furos para Barras - Código: G-029,https://commanderbrasil.com.br/wp-content/uploads/2025/12/G029-g-1.jpeg,https://commanderbrasil.com.br/wp-content/uploads/2025/12/G029-g-1.jpeg,https://commanderbrasil.com.br/catalogo/base-de-nove-furos-para-barras-g029/
