SKU,Nome,slug_nome,Categoria,slug_categoria,Serie,slug_serie,Descricao,Imagem
CBP096,Máquina Bíceps Sentado,maquina-biceps-sentado,Bíceps,biceps,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP096-bgbranco-2.webp
CBP110,Máquina Corrida para Força,maquina-corrida-para-forca,Outros Racks,outros-racks,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP110-bgbranco-2.webp
CBP054,Máquina De Agachamento,maquina-de-agachamento,Máquinas de Agachamento,maquinas-de-agachamento,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP054-bgbranco-2.webp
B1071,Máquina de Alongamento Assistido,maquina-de-alongamento-assistido,Mergulho e Barra Assistida,mergulho-e-barra-assistida,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1071-1-2.webp
SH49,Máquina De Antebraço,maquina-de-antebraco,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH49-bgbranco-2.webp
CBP048,Máquina De Avanço E Agachamento,maquina-de-avanco-e-agachamento,Máquinas de Agachamento,maquinas-de-agachamento,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP048-bgbranco-bgbranco-1.webp
VS09,Máquina de Bíceps,maquina-de-biceps,Bíceps,biceps,Equipamentos - Série VS,equipamentos-serie-vs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS09-1.png
B1027,Máquina de Bíceps,maquina-de-biceps,Bíceps,biceps,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1027-1-2.webp
GM104,Máquina de Bíceps,maquina-de-biceps,Bíceps,biceps,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM104-bgbranco-2.webp
LB607,Máquina de Bíceps,maquina-de-biceps,Bíceps,biceps,Equipamentos - Série LB,equipamentos-serie-lb,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB607-bgbranco-2.webp
B1030,Máquina de Bíceps Scott,maquina-de-biceps-scott,Bíceps,biceps,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1030-1-2.webp
CBP058,Máquina De Elevação de Quadril,maquina-de-elevacao-de-quadril,Quadril e Glúteos,quadril-e-gluteos,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP058-bgbranco-2.webp
LBE08,Máquina de Escada,maquina-de-escada,Acessórios de Treino,acessorios-de-treino,Equipamentos - Série LB-E,equipamentos-serie-lb-e,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E08-bgbranco-1.webp
SH95,Máquina De Glúteo,maquina-de-gluteo,Quadril e Glúteos,quadril-e-gluteos,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH95-bgbranco-2.webp
SH82,Máquina De Glúteo E Quadril,maquina-de-gluteo-e-quadril,Quadril e Glúteos,quadril-e-gluteos,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH82-bgbranco-2.webp
LBE31,Máquina de Pneu,maquina-de-pneu,Outros Cardio,outros-cardio,Equipamentos - Série LB-E,equipamentos-serie-lb-e,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E31-bgbranco-1.webp
SH112,Máquina De Puxada Alta,maquina-de-puxada-alta,Puxada Alta,puxada-alta,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH112-bgbranco-2.webp
CBP045,Máquina De Remada,maquina-de-remada,Remadas,remadas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP045-bgbranco-bgbranco-1.webp
CBP032,Máquina De Rosca de Bíceps,maquina-de-rosca-de-biceps,Bíceps,biceps,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP032-bgbranco-bgbranco-1.webp
SH35,Máquina De Tração,maquina-de-tracao,Outras Anilhadas,outras-anilhadas,Equipamentos - Série SH,equipamentos-serie-sh,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/SH35-bgbranco-2.webp
VS08,Máquina de Tríceps,maquina-de-triceps,Tríceps,triceps,Equipamentos - Série VS,equipamentos-serie-vs,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CMD-VS08-1.png
CBP033,Máquina De Tríceps,maquina-de-triceps,Tríceps,triceps,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP033-bgbranco-bgbranco-1.webp
B1026,Máquina de Tríceps,maquina-de-triceps,Tríceps,triceps,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1026-1-2.webp
GM47,Máquina de Tríceps,maquina-de-triceps,Tríceps,triceps,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM47-bgbranco-2.webp
B1028,Máquina de Tríceps Scott,maquina-de-triceps-scott,Tríceps,triceps,Equipamentos - Série B,equipamentos-serie-b,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/B1028-1-2.webp
GM103,Máquina de Tríceps Sentado,maquina-de-triceps-sentado,Tríceps,triceps,Equipamentos - Série GM,equipamentos-serie-gm,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/GM103-bgbranco-2.webp
CBP017,Máquina de Voador Inclinado,maquina-de-voador-inclinado,Voador e Deltoide Posterior,voador-e-deltoide-posterior,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP017-bgbranco-bgbranco-1.webp
CBP111,Máquina Elevação de Quadril,maquina-elevacao-de-quadril,Quadril e Glúteos,quadril-e-gluteos,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP111-bgbranco-2.webp
CBP121,Máquina Em Pé para Panturrilha Elevação,maquina-em-pe-para-panturrilha-elevacao,Máquinas de Panturrilha,maquinas-de-panturrilha,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP121-bgbranco-2.webp
LBE08A,Máquina Escada,maquina-escada,Outros Cardio,outros-cardio,Equipamentos - Série LB-E,equipamentos-serie-lb-e,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/LB-E08A-bgbranco-1.webp
CBP114,Máquina Extensão Pernas,maquina-extensao-pernas,Extensora de Pernas,extensora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP114-bgbranco-2.webp
CBP113,Máquina Extensão Pernas Alternada,maquina-extensao-pernas-alternada,Extensora de Pernas,extensora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP113-bgbranco-2.webp
CBP056,Máquina Extensora De Pernas,maquina-extensora-de-pernas,Extensora de Pernas,extensora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP056-bgbranco-1.webp
CBP118,Máquina Flexão Pernas Ajoelhado,maquina-flexao-pernas-ajoelhado,Flexora de Pernas,flexora-de-pernas,Equipamentos - Série CBP,equipamentos-serie-cbp,,https://commanderbrasil.com.br/wp-content/uploads/2025/12/CBP118-bgbranco-2.webp
